#file creation series : 11.Oct.2013
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 48008F0D  22   3   u    0       0         17              1      HF   -30    13      2
 4800910D  22   3   u    0       0         17              2      HF   -34    13      2
 4800910B  22   3   u    0       0         18              0      HF   -34    11      2
 4800900B  22   3   u    0       0         18              1      HF   -32    11      2
 48008F0B  22   3   u    0       0         18              2      HF   -30    11      2
 48008F8B  22   3   u    0       0         19              0      HF   -31    11      2
 48008E8B  22   3   u    0       0         19              1      HF   -29    11      2
 4800908B  22   3   u    0       0         19              2      HF   -33    11      2
 4800510B  22   3   u    0       0         20              0      HF   -34    11      1
 4800500B  22   3   u    0       0         20              1      HF   -32    11      1
 48004F0B  22   3   u    0       0         20              2      HF   -30    11      1
 48004F8B  22   3   u    0       0         21              0      HF   -31    11      1
 48004E8B  22   3   u    0       0         21              1      HF   -29    11      1
 4800508B  22   3   u    0       0         21              2      HF   -33    11      1
 4800548B  22   3   u    0       0          2              0      HF   -41    11      1
 4800528D  22   3   u    0       0          2              1      HF   -37    13      1
 4800518D  22   3   u    0       0          2              2      HF   -35    13      1
 4800530D  22   3   u    0       0          3              0      HF   -38    13      1
 4800520D  22   3   u    0       0          3              1      HF   -36    13      1
 4800538D  22   3   u    0       0          3              2      HF   -39    13      1
 4800948B  22   3   u    0       0          4              0      HF   -41    11      2
 4800928D  22   3   u    0       0          4              1      HF   -37    13      2
 4800918D  22   3   u    0       0          4              2      HF   -35    13      2
 4800930D  22   3   u    0       0          5              0      HF   -38    13      2
 4800920D  22   3   u    0       0          5              1      HF   -36    13      2
 4800938D  22   3   u    0       0          5              2      HF   -39    13      2
 4800940B  22   3   u    0       0          6              0      HF   -40    11      2
 4800930B  22   3   u    0       0          6              1      HF   -38    11      2
 4800920B  22   3   u    0       0          6              2      HF   -36    11      2
 4800928B  22   3   u    0       0          7              0      HF   -37    11      2
 4800918B  22   3   u    0       0          7              1      HF   -35    11      2
 4800938B  22   3   u    0       0          7              2      HF   -39    11      2
 4800540B  22   3   u    0       0          8              0      HF   -40    11      1
 4800530B  22   3   u    0       0          8              1      HF   -38    11      1
 4800520B  22   3   u    0       0          8              2      HF   -36    11      1
 4800528B  22   3   u    0       0          9              0      HF   -37    11      1
 4800518B  22   3   u    0       0          9              1      HF   -35    11      1
 4800538B  22   3   u    0       0          9              2      HF   -39    11      1
 48005091  22   4   u    0       0         14              0      HF   -33    17      1
 48004F91  22   4   u    0       0         14              1      HF   -31    17      1
 48004E91  22   4   u    0       0         14              2      HF   -29    17      1
 48005011  22   4   u    0       0         15              0      HF   -32    17      1
 48004F11  22   4   u    0       0         15              1      HF   -30    17      1
 48005111  22   4   u    0       0         15              2      HF   -34    17      1
 48009091  22   4   u    0       0         16              0      HF   -33    17      2
 48008F91  22   4   u    0       0         16              1      HF   -31    17      2
 48008E91  22   4   u    0       0         16              2      HF   -29    17      2
 48009011  22   4   u    0       0         17              0      HF   -32    17      2
 48008F11  22   4   u    0       0         17              1      HF   -30    17      2
 48009111  22   4   u    0       0         17              2      HF   -34    17      2
 4800910F  22   4   u    0       0         18              0      HF   -34    15      2
 4800900F  22   4   u    0       0         18              1      HF   -32    15      2
 48008F0F  22   4   u    0       0         18              2      HF   -30    15      2
 48008F8F  22   4   u    0       0         19              0      HF   -31    15      2
 48008E8F  22   4   u    0       0         19              1      HF   -29    15      2
 4800908F  22   4   u    0       0         19              2      HF   -33    15      2
 4800510F  22   4   u    0       0         20              0      HF   -34    15      1
 4800500F  22   4   u    0       0         20              1      HF   -32    15      1
 48004F0F  22   4   u    0       0         20              2      HF   -30    15      1
 48004F8F  22   4   u    0       0         21              0      HF   -31    15      1
 48004E8F  22   4   u    0       0         21              1      HF   -29    15      1
 4800508F  22   4   u    0       0         21              2      HF   -33    15      1
 4800548F  22   4   u    0       0          2              0      HF   -41    15      1
 48005291  22   4   u    0       0          2              1      HF   -37    17      1
 48005191  22   4   u    0       0          2              2      HF   -35    17      1
 48005311  22   4   u    0       0          3              0      HF   -38    17      1
 48005211  22   4   u    0       0          3              1      HF   -36    17      1
 48005391  22   4   u    0       0          3              2      HF   -39    17      1
 4800948F  22   4   u    0       0          4              0      HF   -41    15      2
 48009291  22   4   u    0       0          4              1      HF   -37    17      2
 48009191  22   4   u    0       0          4              2      HF   -35    17      2
 48009311  22   4   u    0       0          5              0      HF   -38    17      2
 48009211  22   4   u    0       0          5              1      HF   -36    17      2
 48009391  22   4   u    0       0          5              2      HF   -39    17      2
 4800940F  22   4   u    0       0          6              0      HF   -40    15      2
 4800930F  22   4   u    0       0          6              1      HF   -38    15      2
 4800920F  22   4   u    0       0          6              2      HF   -36    15      2
 4800928F  22   4   u    0       0          7              0      HF   -37    15      2
 4800918F  22   4   u    0       0          7              1      HF   -35    15      2
 4800938F  22   4   u    0       0          7              2      HF   -39    15      2
 4800540F  22   4   u    0       0          8              0      HF   -40    15      1
 4800530F  22   4   u    0       0          8              1      HF   -38    15      1
 4800520F  22   4   u    0       0          8              2      HF   -36    15      1
 4800528F  22   4   u    0       0          9              0      HF   -37    15      1
 4800518F  22   4   u    0       0          9              1      HF   -35    15      1
 4800538F  22   4   u    0       0          9              2      HF   -39    15      1
 48005095  22   5   u    0       0         14              0      HF   -33    21      1
 48004F95  22   5   u    0       0         14              1      HF   -31    21      1
 48004E95  22   5   u    0       0         14              2      HF   -29    21      1
 48005015  22   5   u    0       0         15              0      HF   -32    21      1
 48004F15  22   5   u    0       0         15              1      HF   -30    21      1
 48005115  22   5   u    0       0         15              2      HF   -34    21      1
 48009095  22   5   u    0       0         16              0      HF   -33    21      2
 48008F95  22   5   u    0       0         16              1      HF   -31    21      2
 48008E95  22   5   u    0       0         16              2      HF   -29    21      2
 48009015  22   5   u    0       0         17              0      HF   -32    21      2
 48008F15  22   5   u    0       0         17              1      HF   -30    21      2
 48009115  22   5   u    0       0         17              2      HF   -34    21      2
 48009113  22   5   u    0       0         18              0      HF   -34    19      2
 48009013  22   5   u    0       0         18              1      HF   -32    19      2
 48008F13  22   5   u    0       0         18              2      HF   -30    19      2
 48008F93  22   5   u    0       0         19              0      HF   -31    19      2
 48008E93  22   5   u    0       0         19              1      HF   -29    19      2
 48009093  22   5   u    0       0         19              2      HF   -33    19      2
 48005113  22   5   u    0       0         20              0      HF   -34    19      1
 48005013  22   5   u    0       0         20              1      HF   -32    19      1
 48004F13  22   5   u    0       0         20              2      HF   -30    19      1
